Country,Year,Location,Acanthuridae,Aulostomidae,Balistidae,Carangidae,Carcarhinidae,Chaetodontidae,Diodontidae,Fistularidae,Ginglymostomatidae,Haemulidae,Holocentridae,Labridae,Lethrinidae,Lutjanidae,Mullidae,Muraenidae,Others,Pempheridae,Penguipedidae,Pomacanthidae,Pomacentridae,Scaridae,Scombridae,Scorpaenidae,Serranidae,Siganidae,Sphyraenidae,Total biomass,Area,Closure age,LAT,LONG,Exposure,depth,Management,Year of closure,Coral.cover,Algae,Soft.coral,Depth,Park,Park_ID,Atoll,Sampling method,Sampling area,Habitat
Kenya,2000,Mombasa,118.92,3.47,6.29,0,0,5.34,0,0.23,0,36.95,77.04,51.8,1.35,2.8,0.23,4.35,30.64,12.14,2.59,20.53,29.29,168.95,0,0.73,21.47,17.37,0,612.48,6,9,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2001,Mombasa,138.52,6.28,19.57,0,0,21.88,0,0.41,0,60.87,139.28,49.82,2.23,4.62,6.65,7.87,55.39,21.96,4.69,14.32,21,146.16,0,1.33,38.81,11.2,0,772.85,6,10,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2002,Mombasa,142.61,10.1,15.53,0,0,16.42,30.09,0.66,0,104.02,224.01,82.27,3.81,7.89,24.18,12.65,89.09,35.31,7.54,38.66,49.98,194.69,0,2.13,62.43,7.85,0,1161.92,6,11,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2004,Mombasa,149.65,12.46,13.44,0,0,17.68,5.21,0.81,0,95.1,276.35,69.02,3.48,7.21,7.81,15.61,109.91,43.56,9.3,41.82,46.04,254.3,0,2.63,77.01,9.45,0,1267.85,6,13,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2005,Mombasa,190.06,5.98,25.39,0,0,9.62,5.21,0.39,0,208.47,132.51,62.46,7.63,15.81,17.18,7.48,52.7,20.89,4.46,32.53,53.11,352.79,0,1.26,36.93,3.31,0,1246.15,6,14,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2006,Mombasa,117.58,12.48,17.3,0,0,3.25,0,0,0,116.98,111.06,540.49,0,14.93,0.85,29.21,23.99,33.72,5.79,29.46,50.33,252.61,0,0,47.01,4.52,0,1411.53,6,15,-3.99,39.75,Sheltered,2,High compliance closure,1991,31.7,10.3,3.6,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2007,Mombasa,309.34,0,18.07,0,0,5.92,46.94,1.78,0,199.73,104.97,391.36,3.71,24.14,28.83,0,39.01,27.77,8.43,31.81,88.15,293.3,0,0.75,22.37,11.41,0,1657.78,6,16,-3.99,39.75,Sheltered,2,High compliance closure,1991,36.2,8,2.9,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2008,Mombasa,165.52,0,3.5,0,0,4.64,0,0,0,61.91,94.36,186.24,0,0,0,0,72.22,0,0,19.84,33.29,155.62,0,0,10.01,94.57,0,901.71,6,17,-3.99,39.75,Sheltered,2,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2009,Mombasa,65.43,5.43,12.18,0,0,3.53,12.23,0,0,47.46,84.67,145.27,7.19,0.41,2.18,0,17.76,12.11,2.23,18.81,42.31,125.64,0,2.15,31.25,68.36,0,706.58,6,18,-3.99,39.75,Sheltered,2,High compliance closure,1991,28.2,32.5,3,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2010,Mombasa,76.8525,0.9725,16.47,0,0,2.7775,0,0.6125,0,42.5225,51.9875,14.8975,5.42,0,1.575,0,8.9875,0,0.0125,7.3175,19.3275,88.1375,0,0,76.2675,70.4425,0,484.58,6,19,-3.99,39.75,Sheltered,2,High compliance closure,1991,24.5,59.6,4.4,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2011,Mombasa,142.3225,0,22.54,0,0,8.81,0,0,0,39.9275,93.765,125.86,6.0725,5.68,1.575,3.6575,6.5,0,0.17,39.1,34.395,108.73,0,0,177.265,51.5975,0,867.9675,6,20,-3.99,39.75,Sheltered,2,High compliance closure,1991,20.2,37.7,4,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2013,Mombasa,186.6231231,23.97573796,16.5244616,0,0,2.781463317,0,0,0,41.52093664,56.79177023,75.5985914,32.00785743,10.63151289,7.239920147,0,79.54933863,8.536119638,0,25.76212807,35.5314168,85.31189712,0,1.497219865,285.3252994,131.7617633,0,1106.970558,6,22,-3.99,39.75,Sheltered,2,High compliance closure,1991,19.1,36.3,1.3,2,Mombasa,4,0,Belt transect,500,Lagoon/Back reef
Kenya,2013,Mombasa park forereef,359.9802175,0,48.91149683,0,0,18.64714044,0,0,0,0,25.42746663,90.76384253,21.88882418,10.36212217,7.948444775,12.47483993,12.45303336,0,0,15.92989609,21.77271305,85.32922533,0,0,23.6948545,14.64076215,0,770.2248794,6,22,-3.99,39.75,Exposed,7.4,High compliance closure,1991,,,,,Mombasa,4,0,Belt transect,500,Slope
