area_name,Larger,EEZ_lat,EEZ_long,Region,CoralReefArea_km2,Rfishers_km2r,HDI,meanTgrav_nh2,Tourists_km2l,meanTTpop_h,meanTTmarket_h,mpa_perc,popgrow_prop,pop_n,median_totalcatch_t,mean_totalcatch_t,mean_tcatch_notindus_t,mean_tcatch_onlyreported_t,mean_tcatch_notindus_onlyrep_t,mean_spatial_totalcatch_reefs_t,reef_area_spatial_km2
Mozambique,Mozambique,-24.17994571,36.90613919,I,6767.11808,0.03,0.4,106.57,2.18,0.528166667,4.431666667,2.23,0.34,24221405,15813.35599,16966.92492,16042.72333,15846.27019,15846.24966,8486.906837,6767.11808
Mozambique Channel Isl. (France),,-20.84378949,39.43711425,I,658.292213,NA,0.88,1,139.98,18.2375,22.5625,26.17,NA,NA,14.38774663,13.21153819,0,0.431984614,0,13.62632538,658.292213
Myanmar,,15.1553794,94.48384547,I,613.52067,316.53,0.53,96.16,1.21,0.348333333,7.039666667,0.05,0.09,50155896,125944.7081,126067.1568,29200.87688,48620.61222,9735.80996,11123.58085,613.52067
Nauru,,-0.58104165,166.123734,P,5.955291,0.99,NA,15.5,NA,0.191666667,0.316666667,0,0,10025,31.23170198,31.08897054,31.08897054,20.1616673,20.1616673,26.6635987,5.955291
Netherlands Antilles,Netherlands Antilles,12.31,-68.64,C,422.706869,0.24,0.91,94.82,322.65,0.1925,2.984833333,21.49,0.45,20940,70.57255212,68.3706363,66.87463212,28.34511268,37.27259641,NA,422.706869
New Caledonia (France),New Caledonia,-21.57855027,164.3386023,P,4597.982369,1.08,0.88,9.66,5.42,7.769833333,16.14983333,96.34,0.17,249750,3406.245293,3604.058811,3574.288811,162.6897249,132.9197249,3418.605608,4597.982369
Nicaragua (Caribbean),Nicaragua,13.632711,-82.340787,C,467.449035,18.64,0.62,20.6,8.4,2.751166667,6.228333333,2.93,0.14,5737723,5075.965523,5144.954323,2773.717589,1308.193714,1114.907514,8124.335208,467.449035
Niue (New Zealand),,-19.50786138,-169.3366566,P,15.463474,1.09,0.9,6.89,9.25,1.174,1.372166667,30.34,-0.14,1630,13.91773637,12.73475107,12.73475107,1.525605491,1.525605491,28.13111341,15.463474
Northern Marianas (USA),Northern Mariana Islands,18.318329,146.028419,P,81.875725,7.53,0.91,15.97,823.91,2.108666667,4.793166667,33.23,-0.21,54424,50.15102038,47.5566776,47.5566776,16.41231934,16.41231934,69.6839454,81.875725
Oman,Oman,19.09017422,58.75597207,I,304.486721,51.75,0.8,141.7,4.66,0.5435,13.67383333,0.12,0.34,3041460,17441.89435,7606.65285,9710.307078,6832.415599,6498.714098,6325.389367,304.486721
Pakistan,,23.55092443,64.70231685,I,50,NA,0.53,NA,1.18,NA,NA,0.77,0.23,170560182,84985.6642,85301.65937,58761.53291,30726.85571,12291.12629,NA,NA
Palau,Palau,6.38358429,133.0760627,P,509.703208,0.27,0.77,3.42,184.78,0.954666667,7.576833333,82.99,0.07,20470,2054.407149,2067.852387,2067.852387,835.7245688,835.7245688,2079.040419,509.703208
Panama,Panama,10.391099,-79.444357,C,634.628865,3.98,0.76,71.97,17.81,0.404666667,3.463666667,1.68,0.2,3643222,8412.783977,4104.983848,2543.007143,1868.571429,1868.571429,4866.809113,634.628865
Papua New Guinea,Papua New Guinea,-5.47163182,150.7177012,P,7771.908608,0.82,0.49,26.07,0.31,0.871333333,7.489,0.19,0.28,7108239,15769.84364,15665.00525,15586.65395,1424.03985,1424.03985,12604.84551,7771.908608
Philippines,Philippines,18.34323473,124.0969886,P,14939.31636,43.56,0.67,523.04,11.81,1.406,14.06833333,1.16,0.2,93726624,75742.79563,71536.84515,39142.93565,32382.44336,0,94381.63882,14939.31636
Pitcairn (UK),,-24.59914125,-127.4242258,P,39.579696,NA,0.9,0,116.96,9.237,9.251833333,20.24,NA,50,0.4,0.4,0.4,0.4,0.4,NA,39.579696
PRIA,PRIA,-1.110215,-176.967953,P,174.305987,0,0.91,0,6.56,32.08333333,87.8945,41.08,0,0,0.148543074,0.042440878,0.06285292,0,0,0.002453819,174.305987
Puerto Rico (USA),Puerto Rico,16.877383,-66.43622,C,158.9997,1005.68,0.91,1363.38,359.19,0.271666667,1.187666667,1.75,-0.02,3721525,704.8579988,712.4077939,712.4077939,492.5659531,492.5659531,660.0136709,158.9997
Qatar,,25.85023576,25.85023576,I,268.048426,24.42,0.83,289.08,146.38,1.428833333,2.3465,0.18,2,1779676,16854.05354,16915.09132,16915.09132,16350.85714,16350.85714,11780.51541,268.048426
Réunion (France),Reunion,-21.74209092,54.70225457,I,12.183592,87.46,0.88,344,139.98,4.598166667,7.288833333,26.17,0.13,830519,53.60354755,64.73352374,63.69551476,24.20001435,23.16200536,36.71161932,12.183592
Saint Kitts & Nevis,,17.02489228,-62.85774593,C,42.05309,93.2,0.74,103.44,376.92,0.192666667,0.742666667,0.17,0.13,51445,425.8934792,412.1842544,412.1842544,103.6293735,103.6293735,377.4790673,42.05309
Saint Lucia,,13.875941,-61.102578,C,29.651474,25.57,0.73,375.42,501.64,0.125,1.376333333,0.22,0.1,172580,177.2322658,179.9288391,179.9288391,178.085338,178.085338,132.8764253,29.651474
Saint Vincent & the Grenadines,,13.15185205,-61.69325445,C,40.646402,0.43,0.71,30.15,184.62,0.224333333,1.894833333,0.22,0.01,109315,391.4420126,442.5618384,312.3461908,325.5333696,253.1087574,115.2141312,40.646402
Samoa,Samoa,-13.27920631,-172.7613151,P,201.190184,9.5,0.69,138.81,43.11,0.143833333,1.695,0.09,0.07,186205,3416.159046,3453.44903,3453.44903,2594.075788,2594.075788,3348.201091,201.190184
Saudi Arabia,,21.59112414,38.60696575,I,4931.41801,2.21,0.8,456.41,5.05,0.8575,5.039833333,1.53,0.32,27425676,30545.95381,17515.26489,12635.42101,12790.2004,9067.218701,23192.29871,4931.41801
Seychelles,Seychelles,-6.54178492,52.48150626,I,2283.817561,0.05,0.74,32.53,380.43,4.427333333,13.7835,0.04,0.11,89770,1703.15,1872.361215,1872.287899,1597.35903,1597.285714,3688.505441,2283.817561
Singapore,,1.30216572,103.9771322,I,3.876426,NA,0.91,7882.33,13049.86,0.135166667,0.666666667,0,0.26,5076732,486.5707071,490.4227553,490.4227553,169.1695214,169.1695214,NA,3.876426
Solomon Isl.,Solomon Islands,-10.04458677,163.6553905,P,2975.522975,0.55,0.5,12.52,0.73,0.713333333,12.76233333,0.12,0.28,527790,15370.66301,15391.32944,15391.32944,7622.368713,7622.368713,14247.36206,2975.522975
Somalia,,4.91153157,48.41362865,I,508.030786,7.28,NA,1680.36,NA,0.202,1.618166667,0,0.34,12053223,32896.08332,33100.78123,5064.168161,8769.521099,1205.294906,2515.280733,508.030786
South Africa (Indian Ocean Coast),,-26.8471,36.533,I,1.404362,NA,0.64,229.67,6.66,0.2555,2.433333333,12.08,0.13,51584663,1131.037186,1143.485733,1076.619942,66.86579097,0,41.95897454,1.404362
Sri Lanka,,7.89873952,83.37163062,I,122.547481,106.17,0.75,2742.56,10.43,0.223166667,2.443833333,0.07,0.08,20198353,20794.50124,23224.13277,14657.77374,8566.359035,0,8286.018437,122.547481
St Barthelemy (France),,18.147784,-62.399177,C,10.771608,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.7106227,116.0583464,116.0583464,23.21166928,23.21166928,126.9554377,10.771608
St Martin (France),,17.3683,-63.39418,C,6.980529,NA,0.88,148,NA,0.116666667,0.933333333,96.57,0.07,30235,160.5494506,244.6467818,244.6467818,48.92935636,48.92935636,629.8321285,6.980529
Sudan,,19.787633,38.163147,I,1259.474662,0.03,0.46,65.04,0.21,0.761833333,4.598333333,15.96,0.26,34385963,1026.277559,1040.684929,1024.937043,943.5299342,929.7419455,484.9463259,1259.474662
Taiwan,,21.57382495,118.86224,P,377.013672,50.91,NA,372.6,NA,1.999166667,5.7585,NA,0.06,23102406,1352.498704,1230.106262,304.8663591,696.9106181,139.3359498,84235.59466,377.013672
Tanzania,Tanzania,-7.21340065,41.1640054,I,5362.472549,4.52,0.5,905.26,0.85,0.380333333,2.627166667,2.5,0.35,46098591,29076.38559,30150.42078,29877.62742,24278.87051,24278.86438,27361.72904,5362.472549
Thailand,,9.01350012,96.94251638,P,185.496398,792.49,0.72,235.47,31.19,0.305166667,2.330166667,1.88,0.07,67208808,155533.5059,121117.1368,45193.92486,83727.79695,12047.34448,11158.87834,185.496398
Timor Leste,,-9.12502487,126.4721731,I,37.130507,3.04,0.61,109.57,2.69,0.154,2.7035,1.37,0.27,1109591,2059.366802,2062.360441,2062.360441,1048.4317,1048.4317,1075.68067,37.130507
Tokelau (New Zealand),,-8.6364479,-172.0796131,P,97.189844,0.13,0.9,0.71,9.25,0.385666667,30.0155,30.34,-0.27,1140,15.365113,15.18501141,15.18501141,1.826636362,1.826636362,NA,97.189844
Tonga,Tonga,-20.19900336,-174.760148,P,997.213436,0.71,0.71,26.23,65.42,0.6555,9.031166667,1.51,0.06,104137,1593.374049,1593.234713,1593.234713,578.3919907,578.3919907,2505.539851,997.213436
Trinidad & Tobago,,10.93052729,-59.91838772,C,32.225446,347.34,0.77,91.67,75.63,0.2755,4.458833333,0.05,0.05,1328100,3195.813583,3143.370608,2774.680552,2354.888454,2352.803114,1191.437616,32.225446
Turks & Caicos Isl. (UK),Turks and Caicos Islands,22.56548973,-70.30295288,C,192.564277,3.88,0.9,42.21,295.79,0.547166667,4.1035,0.1,0.64,30994,778.1196029,772.9120238,772.9120238,0,0,685.0960706,192.564277
Tuvalu,,-7.001415,-176.366477,P,1167.541601,0.36,NA,2.72,56.67,5.167666667,15.2005,0.01,0.12,10531,122.2957462,122.274449,122.274449,90.30315386,90.30315386,25.11029231,1167.541601
United Arab Emirates,United Arab Emirates,24.98509283,53.98043428,I,128.166622,138.57,0.82,264.1,NA,0.881666667,3.8135,4.27,1.62,8270684,26551.31283,11777.29549,11777.29064,13302.04023,10347.23412,11593.86498,128.166622
US Virgin Isl.,US Virgin Islands,18.03217,-64.79305,C,34.170728,9.09,0.91,1050.5,1634.29,0.2575,2.718166667,0.85,0,108358,250.01904,227.2026529,227.2026529,227.2026529,227.2026529,660.8540631,34.170728
USA (Gulf of Mexico),Florida,26.75,-83.58,C,763.872186,0,0.91,1423.82,6.56,0.819,4.228833333,41.08,0.1,309338421,17184.87284,18750.78744,16553.26457,6161.812165,6102.869246,3497.992822,763.872186
Vanuatu,,-16.60268861,168.476874,P,710.960678,0.02,0.59,22.98,7.97,0.261333333,12.72766667,0.01,0.28,236295,1486.440407,1497.883388,1497.883388,910.8648783,910.8648783,1724.906286,710.960678
Venezuela,Venezuela,12.81627045,-65.94575349,C,424.293577,73.61,0.76,366.28,0.6,2.115,4.364333333,3.49,0.19,29028033,13145.19909,14164.51839,13928.64716,9530.945305,9510.284147,5256.190413,424.293577
Viet Nam,,8.593415,107.374242,I,492.58408,709.84,0.66,487.47,16.29,4.6815,7.0765,0.56,0.1,88472512,49987.54395,53276.49928,15450.92394,38996.01572,13300.17838,26641.28989,492.58408
Wallis & Futuna Isl. (France),Wallis and Futuna,-12.79979,-176.918196,P,426.26358,0.04,0.88,2.27,139.98,6.016166667,8.112166667,26.17,-0.07,13428,568.5205275,574.9260232,574.9260232,523.9140996,523.9140996,572.4709601,426.26358
Yemen,,12.94171403,52.17961914,I,692.025975,28.05,0.49,259.26,1.94,0.5995,3.101333333,0.47,0.32,23606779,13538.15745,7828.820488,4531.923662,6085.315184,5569.078471,7267.197067,692.025975
